2024-05-06 21:45:31,628 INFO    StreamThr :3353 [internal.py:wandb_internal():86] W&B internal server running at pid: 3353, started at: 2024-05-06 21:45:31.626905
2024-05-06 21:45:31,630 DEBUG   HandlerThread:3353 [handler.py:handle_request():146] handle_request: status
2024-05-06 21:45:31,633 INFO    WriterThread:3353 [datastore.py:open_for_write():87] open: /root/mats/sae/wandb/run-20240506_214527-7c5dvtze/run-7c5dvtze.wandb
2024-05-06 21:45:31,637 DEBUG   SenderThread:3353 [sender.py:send():379] send: header
2024-05-06 21:45:31,637 DEBUG   SenderThread:3353 [sender.py:send():379] send: run
2024-05-06 21:45:32,010 INFO    SenderThread:3353 [dir_watcher.py:__init__():211] watching files in: /root/mats/sae/wandb/run-20240506_214527-7c5dvtze/files
2024-05-06 21:45:32,010 INFO    SenderThread:3353 [sender.py:_start_run_threads():1124] run started: 7c5dvtze with start time 1715031930.697691
2024-05-06 21:45:32,029 DEBUG   HandlerThread:3353 [handler.py:handle_request():146] handle_request: check_version
2024-05-06 21:45:32,030 DEBUG   SenderThread:3353 [sender.py:send_request():406] send_request: check_version
2024-05-06 21:45:32,179 DEBUG   HandlerThread:3353 [handler.py:handle_request():146] handle_request: run_start
2024-05-06 21:45:32,180 DEBUG   HandlerThread:3353 [system_info.py:__init__():26] System info init
2024-05-06 21:45:32,180 DEBUG   HandlerThread:3353 [system_info.py:__init__():41] System info init done
2024-05-06 21:45:32,181 INFO    HandlerThread:3353 [system_monitor.py:start():194] Starting system monitor
2024-05-06 21:45:32,181 INFO    SystemMonitor:3353 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-05-06 21:45:32,182 INFO    HandlerThread:3353 [system_monitor.py:probe():214] Collecting system info
2024-05-06 21:45:32,184 INFO    SystemMonitor:3353 [interfaces.py:start():190] Started cpu monitoring
2024-05-06 21:45:32,185 INFO    SystemMonitor:3353 [interfaces.py:start():190] Started disk monitoring
2024-05-06 21:45:32,186 INFO    SystemMonitor:3353 [interfaces.py:start():190] Started gpu monitoring
2024-05-06 21:45:32,189 INFO    SystemMonitor:3353 [interfaces.py:start():190] Started memory monitoring
2024-05-06 21:45:32,190 INFO    SystemMonitor:3353 [interfaces.py:start():190] Started network monitoring
2024-05-06 21:45:32,272 DEBUG   HandlerThread:3353 [system_info.py:probe():150] Probing system
2024-05-06 21:45:32,273 DEBUG   HandlerThread:3353 [system_info.py:_probe_git():135] Probing git
2024-05-06 21:45:32,280 DEBUG   HandlerThread:3353 [system_info.py:_probe_git():143] Probing git done
2024-05-06 21:45:32,281 DEBUG   HandlerThread:3353 [system_info.py:probe():198] Probing system done
